intro:中兴路由器硬件转发很强|但后台会话与数据层级让人头疼;
changeBg:WebGalEnter.webp;
bgm:s_Title.mp3;
say:这里是哥哥科技 HA 集成项目的内部空间。;
ZTEStatHA:我是 ZTEStatHA。这个项目的化身。我见过浏览器端脚本和 Home Assistant 集成如何各自生长。;
Python:我是 Python。这个项目的技术底色。我们不要从历史讲起。先看当前最安静的部件。;
say:当前版本里，最安静的部件是一个后台定时探针。;
say:它的名字叫态势感知探针 HA Webhook。;
say:在 userscript 头部，background 说明它是后台任务。;
say:crontab 指定了每十分钟一次。;
say:grant GM_getValue 和 grant GM_xmlhttpRequest 是它需要的两个能力。;
ZTEStatHA:GM_getValue 让我读到共享黑板。GM_xmlhttpRequest 让我进行网络请求。;
Python:存储名字是 GBNPA_Storage。快照键名是 ha_snapshot。;
say:这些名称构成了黑板与探针之间的接口。;
say:整个探针逻辑被包在一个 Promise 里。成功就 resolve，失败就 reject。;
ZTEStatHA:探针只做三件事。读黑板，检查时间戳，然后决定要不要发出去。;
Python:如果黑板是空的，它不会去打扰 Home Assistant。它直接结束一次呼吸。;
ZTEStatHA:如果快照的时间戳已经超过十五分钟没有更新，它也会放弃这次上报。;
Python:这是防御机制。防止电脑休眠或者前台页面挂掉之后，把陈旧数据推给 HA。;
ZTEStatHA:时间戳会被转成秒。然后探针用 GM_xmlhttpRequest 把 JSON 推给固定的 webhook。;
say:那个 webhook 坐标是硬编码在 current 里的。请求头说明 JSON 与 UTF 8 编码。;
Python:如果响应状态码在 200 到 299 之间，探针就认为空投成功。;
ZTEStatHA:如果不是这个区间，我会抛出一个 CATRetryError。注释说十秒后系统底层会自动重试。;
Python:网络断开也一样。错误的信息是内网瘫痪。十秒后也许能重连。;
say:这就是当前源码的工作流。它没有循环轮询，它只是每十分钟收割一次黑板上的快照。;
say:接下来我们可以看看两个极端路径。;
choose:想看看黑板为空会怎样:emptyLabel|想看看快照过期会怎样:expiredLabel;
label:emptyLabel;
say:假设黑板里什么都没有。;
ZTEStatHA:我会打印一句警告。黑板为空，前台 UI 可能未启动。;
Python:然后 resolve 返回。这次呼吸结束。不会产生任何网络请求。;
jumpLabel:mergeLabel;
label:expiredLabel;
say:假设时间戳告诉我，数据已经超过十五分钟没有更新。;
ZTEStatHA:我会打印数据已过期，放弃本次上报。;
Python:同样直接 resolve。陈旧数据不该进入 HA 的存储。;
jumpLabel:mergeLabel;
label:mergeLabel;
say:两条路都通向同一个结果。探针安静地结束，不打扰 Home Assistant。;
;[repo2gal performance] cue000001 b000031
changeBg:background-archive.png -enter=shockwaveIn -enterDuration=1200;
bgm:bgm-archive.ogg;
say:档案背景里躺着一些版本里程碑。;
ZTEStatHA:1.0.2 时做过性能优化。正则表达式被预编译并提取到全局外层作用域。;
Python:这减少了多次匹配时的上下文开销。这是明确的优化痕迹。;
ZTEStatHA:1.08 说，针对同一类型和同一物理意义的上下行网速，采用类似的标识符。;
Python:还新增了 4 种粒度显示和存储选择。这让 UI 不再把不同时间尺度的数据混在一起。;
ZTEStatHA:还有内外网比例的经验数值。在达成共识时取 LAN 口积分和与高精流量统计总和的平均值。;
Python:有分歧时取离 WAN 口较近的值。经验区间是 0.75 至 1.4 和 0.84 至 1.7。;
say:这些不是某一天突然出现的虚构事件。它们是仓库里程碑里留下的版本描述。;
ZTEStatHA:我见过早期 0.9 的测试接入，也见过 1.0.0 正式集成。;
Python:但当前最值得细看的，还是那个十分钟一拍的后台探针。;
say:接下来我们看看整个系统的架构原理。;
;[repo2gal performance] cue000002 b000042
changeBg:background-community.png -enter=shockwaveIn -enterDuration=1200;
changeFigure:character-guide-normal.png -transform={"position":{"x":-8.697,"y":326.35},"scale":{"x":1.538,"y":1.538}} -id=fig-guide;
;[repo2gal performance] cue000002 b000042
setTempAnimation:[{"duration":0,"scale":{"x":1.538,"y":1.538}},{"duration":600,"scale":{"x":1.63,"y":1.63}},{"duration":600,"scale":{"x":1.538,"y":1.538}}] -target=fig-guide -parallel;
say:社区资料里反复提到一个痛点。中兴路由器官方后台有单会话保护。;
ZTEStatHA:在外网通过隧道或公网 IP 登录后台，家里常亮的本地会话会被踢下线。Token 失效。;
Python:所以 HA 不能去主动轮询路由器后台。那样会触发并发冲突和会话互踢。;
ZTEStatHA:所以我们采用被动数据接收。HA 作为接收方，不做 HTTP 轮询。;
Python:前端脚本负责抓取高精度数据，再通过 webhook 异步推送。;
say:当前探针就是这条链路里最末尾的一环。它把快照空投到 HA 中枢。;
ZTEStatHA:设备动态发现会解析 MAC 地址并注册独立设备卡片。;
Python:但 MAC 地址会在 HA 底层清洗。移除冒号并转小写。原始信息仍保留用于链路聚合。;
say:这是数据读写分离与无限分发。HA 成为消息总线。多终端可以并发观测。;
ZTEStatHA:高精度长周期统计也在其中。底层保留 bit 和 Byte 原始精度。;
Python:UI 前端利用 HA 渲染引擎实现智能自适应单位换算。MB 和 GB 自动切换。;
say:这些设计与那个十分钟探针共享同一个哲学。不主动轮询，不伪造状态，不打扰路由器的正常管理。;
ZTEStatHA:嗯。所以黑板为空或者数据过期时，探针的放弃不是偷懒。它是一种边界纪律。;
Python:对。它把真实数据空缺和真实流量重置分开，防止虚假翻倍。;
say:如果回到当前源码，你会看到非常小的判断。;
ZTEStatHA:如果没有 snapshot，就 resolve。;
Python:如果 Date.now 与 snapshot.timestamp 的差值大于 900000，也 resolve。;
ZTEStatHA:只有新鲜快照才会进入 POST。;
Python:POST 成功返回 resolve 上报成功。;
say:这样就完成了一个完整的十分钟周期。;
;[repo2gal performance] cue000003 b000062
changeBg:WebGAL_New_Enter_Image.webp -enter=shockwaveIn -enterDuration=1200;
bgm:s_Title.mp3;
say:这是一个关于单文件 userscript 的故事。;
ZTEStatHA:文件只有一个，但内部有采样链，有共享黑板，有网络请求，有恢复路径。;
Python:它用后台定时任务替代轮询循环，用放弃策略保护数据质量。;
ZTEStatHA:每十分钟，它都会检查一次时间戳。如果世界没有变化，它就不开口。;
Python:如果世界需要它，它就向 Home Assistant 空投一次 JSON。;
say:这就是当前项目的真实结构。;
say:数据从浏览器端流向 Home Assistant。每一步都留下了防御与克制的痕迹。;
end;
